[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader::  check code region access right..da_write_boot_loader DA_DOWNLOAD_BLOADER_CMD response 0x5a
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: send PACKET SIZE(0x00001000)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader send Flash Device Type(0x07)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader  check Flash Device Type... response 0x5a
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: check Header Block..
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader check Header Block response 0x5a
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: 1st download ...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader: send BL Numers(0x00000002).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader ask DA to format HB (0x5A)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader ask DA to check HB exist or not (0xA5)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader  DA check HB... response 0x5a
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _038_00000
[25/04/2021 8:25:54 p. m.]  :  038
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader : send BL[0] - BL_EXIST_MAGIC(0x5A).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:DA_cmd::CMD_DownloadBootLoader(): send BL[0] - BL_DEV(0x07).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader send BL[0] - BL_TYPE(0x0001).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: send BL[0] - BL_BEGIN_DEV_ADDR(load addr)(0x70006000).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: send BL[0] - BL_BOUNDARY_DEV_ADDR(load addr+file_len)(0x70007C48).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader::: send BL[0] - BL_ATTRIBUTE(0x00000001)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:.da_write_boot_loader:::  send BL[0] - BL_MAX_SIZE(0xFFFFFFFF).
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:DA_cmd::CMD_DownloadBootLoader(): send BL[0] - AC_C enable (0).
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:ParseArguments() : CFG path   = [C:\Users\juans\AppData\Local\Arduino15\packages\LinkIt\tools\linkit_tools\1.1.23\firmware\LinkIt_ONE\1.1.23\SEEED02A_DEMO_BB.cfg]
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:ParseArguments() : DA  path   = [C:\Users\juans\AppData\Local\Arduino15\packages\LinkIt\tools\linkit_tools\1.1.23\firmware\Download_Agent\6261]
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:ParseArguments() : COM number = 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:ParseArguments() : Property name = [(null)]
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[**Process**] _001_00000
[25/04/2021 8:25:55 p. m.]  :  001
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetBBInfoFromCFG() Platform = 0x2502
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [SEEED02A_DEMO_BOOTLOADER_V005_MT2502_MAUI_11CW1418SP4_W15_15.bin] (len = 64)
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [EXT_BOOTLOADER] (len = 14)
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [ROM] (len = 3)
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [VIVA] (len = 4)
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:GetExternalMemorySettingFromCFG() EOF
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:ParseConfigFile():  Done 
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[**Process**] _002_00000
[25/04/2021 8:25:55 p. m.]  :  002
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[**Process**] _003_00000
[25/04/2021 8:25:55 p. m.]  :  003
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:load_image_info(): File Type = [ARM_BL], load address = 0x70006000 , format = RAW
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:load_image_info(): File Type = [ARM_EXT_BL], load address = 0x10003000 , format = RAW
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:load_image_info(): File Type = [PRIMARY_MAUI], load address = 0x10020000 , format = RAW
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:load_image_info(): File Type = [VIVA], load address = 0x1016ca08 , format = RAW
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[**Process**] _005_00000
[25/04/2021 8:25:55 p. m.]  :  005
